classification_name,classification_code,country,year,affordability_healthy_diet_ratio_cost_to_food_expenditures,affordability_healthy_diet_ratio_cost_to_food_poverty_line,affordability_nutrient_adequate_diet_ratio_cost_to_food_expenditures,affordability_nutrient_adequate_diet_ratio_cost_to_food_poverty_line,affordability_energy_sufficient_diet_ratio_cost_to_food_expenditures,affordability_energy_sufficient_diet_ratio_cost_food_poverty_line,cost_healthy_diet,cost_healthy_diet_relative_to_cost_of_sufficient_energy_from_starchy_staples,cost_nutrient_adequate_diet,cost_energy_sufficient_diet,cost_animal-source_foods,cost_animal-sourced_foods_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_fruits,cost_fruits_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_legumes_nuts_seeds,cost_legumes_nuts_seeds_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_oils_fats,cost_oils_fats_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_starchy_staples,cost_vegetables,cost_vegetables_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_share_animal-sourced_foods_in_least-cost_healthy_diet,cost_share_fruits_in_least-cost_healthy_diet,cost_share_legumes_nuts_seeds_in_least-cost_healthy_diet,cost_share_oils_fats_in_least-cost_healthy_diet,cost_share_vegetables_in_least-cost_healthy_diet,cost_share_starchy_staples_in_least-cost_healthy_diet,percent_population_cannot_afford_sufficient_calories,percent_population_cannot_afford_nutrient_adequacy,percent_population_cannot_afford_healthy_diet,millions_people_cannot_afford_sufficient_calories,millions_people_cannot_afford_nutrient_adequacy,millions_people_cannot_afford_healthy_diet,population
Food Prices for Nutrition 1.0,FPN 1.0,Albania,2017,0.425,3.992,0.266,2.496,0.078,0.732,3.952,5.45,2.471,0.725,1.204,2.01,0.911,1.52,0.441,0.74,0.089,0.15,0.599,0.707,1.18,0.305,0.231,0.112,0.023,0.179,0.152,0.0,13.0,37.8,0.0,0.4,1.1,2873457
Food Prices for Nutrition 1.0,FPN 1.0,Algeria,2017,0.605,3.801,0.374,2.346,0.124,0.781,3.763,4.87,2.323,0.773,0.964,1.94,0.979,1.97,0.493,0.99,0.132,0.27,0.496,0.699,1.41,0.256,0.26,0.131,0.035,0.186,0.132,0.2,7.2,35.2,0.1,3.0,14.6,41389174
Food Prices for Nutrition 1.0,FPN 1.0,Angola,2017,0.972,4.371,0.726,3.264,0.315,1.417,4.327,3.08,3.231,1.403,1.011,1.21,0.717,0.85,0.395,0.47,0.166,0.2,0.839,1.199,1.43,0.234,0.166,0.091,0.038,0.277,0.194,57.2,87.1,92.9,17.0,26.0,27.7,29816769
Food Prices for Nutrition 1.0,FPN 1.0,Argentina,2017,0.395,3.375,0.31,2.652,0.077,0.659,3.341,5.12,2.625,0.652,0.669,1.44,0.733,1.58,0.656,1.42,0.117,0.25,0.463,0.703,1.52,0.2,0.219,0.196,0.035,0.21,0.139,0.3,7.1,11.0,0.1,3.1,4.8,44044811
Food Prices for Nutrition 1.0,FPN 1.0,Armenia,2017,0.27,3.127,0.192,2.23,0.088,1.023,3.096,3.06,2.208,1.013,0.973,1.81,0.488,0.91,0.541,1.01,0.123,0.23,0.537,0.433,0.81,0.314,0.158,0.175,0.04,0.14,0.173,0.6,16.8,40.9,0.0,0.5,1.2,2944789
Food Prices for Nutrition 1.0,FPN 1.0,Australia,2017,0.333,2.282,0.235,1.611,0.045,0.31,2.259,7.36,1.595,0.307,0.458,2.07,0.667,3.02,0.249,1.13,0.067,0.3,0.221,0.597,2.7,0.203,0.295,0.11,0.03,0.264,0.098,0.2,0.5,0.7,0.1,0.1,0.2,24601860
Food Prices for Nutrition 1.0,FPN 1.0,Austria,2017,0.39,2.8,0.318,2.279,0.049,0.349,2.772,8.01,2.256,0.346,0.612,2.67,0.819,3.58,0.36,1.57,0.055,0.24,0.229,0.698,3.05,0.221,0.295,0.13,0.02,0.252,0.083,0.2,0.5,0.6,0.0,0.0,0.1,8797566
Food Prices for Nutrition 1.0,FPN 1.0,Azerbaijan,2017,0.288,2.372,0.225,1.855,0.097,0.797,2.348,2.98,1.836,0.789,0.729,1.63,0.26,0.58,0.463,1.03,0.132,0.29,0.448,0.317,0.71,0.31,0.111,0.197,0.056,0.135,0.191,0.0,0.0,0.0,0.0,0.0,0.0,9854033
Food Prices for Nutrition 1.0,FPN 1.0,Bangladesh,2017,0.648,2.911,0.438,1.967,0.145,0.651,2.882,4.48,1.947,0.644,1.143,3.18,0.559,1.56,0.227,0.63,0.118,0.33,0.359,0.477,1.33,0.397,0.194,0.079,0.041,0.166,0.125,0.8,51.8,77.4,1.2,82.7,123.7,159685421
Food Prices for Nutrition 1.0,FPN 1.0,Belarus,2017,0.378,3.209,0.257,2.183,0.095,0.808,3.177,3.97,2.161,0.8,0.826,1.63,0.678,1.34,0.643,1.27,0.174,0.34,0.506,0.349,0.69,0.26,0.213,0.202,0.055,0.11,0.159,0.0,0.1,0.8,0.0,0.0,0.1,9458989
Food Prices for Nutrition 1.0,FPN 1.0,Belgium,2017,0.347,2.891,0.291,2.43,0.032,0.266,2.862,10.88,2.406,0.263,0.745,3.36,0.79,3.56,0.369,1.66,0.06,0.27,0.222,0.677,3.05,0.26,0.276,0.129,0.021,0.237,0.078,0.1,0.3,0.3,0.0,0.0,0.0,11375158
Food Prices for Nutrition 1.0,FPN 1.0,Belize,2017,1.009,2.501,1.143,2.831,0.461,1.141,2.476,2.19,2.803,1.13,0.776,2.04,0.162,0.43,0.224,0.59,0.129,0.34,0.38,0.805,2.12,0.313,0.065,0.09,0.052,0.325,0.153,13.9,45.5,39.4,0.1,0.2,0.1,375775
Food Prices for Nutrition 1.0,FPN 1.0,Benin,2017,1.721,3.586,1.211,2.523,0.316,0.659,3.55,5.44,2.498,0.652,1.168,2.85,0.538,1.31,0.297,0.72,0.125,0.3,0.41,1.012,2.47,0.329,0.152,0.084,0.035,0.285,0.115,13.9,82.3,90.7,1.5,9.2,10.1,11175192
Food Prices for Nutrition 1.0,FPN 1.0,Bhutan,2017,0.753,4.427,0.481,2.83,0.18,1.058,4.383,4.19,2.802,1.047,1.191,2.21,1.122,2.08,0.427,0.79,0.164,0.3,0.54,0.94,1.74,0.272,0.256,0.097,0.037,0.214,0.123,1.3,32.7,57.6,0.0,0.2,0.4,745563
Food Prices for Nutrition 1.0,FPN 1.0,Bolivia,2017,0.624,3.587,0.586,3.372,0.258,1.483,3.551,2.42,3.338,1.468,1.046,1.34,0.411,0.53,0.53,0.68,0.14,0.18,0.781,0.644,0.82,0.295,0.116,0.149,0.039,0.181,0.22,9.3,28.0,30.2,1.0,3.1,3.4,11192853
Food Prices for Nutrition 1.0,FPN 1.0,Bosnia and Herzegovina,2017,0.487,3.886,0.386,3.082,0.087,0.698,3.847,5.57,3.051,0.691,0.921,1.71,0.916,1.7,0.512,0.95,0.132,0.24,0.54,0.825,1.53,0.239,0.238,0.133,0.034,0.214,0.14,0.0,2.3,4.6,0.0,0.1,0.2,3351534
Food Prices for Nutrition 1.0,FPN 1.0,Botswana,2017,0.274,3.659,0.17,2.273,0.038,0.51,3.622,7.17,2.25,0.505,1.097,2.81,0.795,2.04,0.402,1.03,0.142,0.36,0.39,0.796,2.04,0.303,0.219,0.111,0.039,0.22,0.108,1.4,45.1,63.8,0.0,1.0,1.4,2205076
