classification_name,classification_code,country,year,affordability_healthy_diet_ratio_cost_to_food_poverty_line,cost_healthy_diet,percent_population_cannot_afford_healthy_diet,millions_people_cannot_afford_healthy_diet,population
Food Prices for Nutrition 1.0,FPN 1.0,Albania,2018,4.092,4.051,27.9,0.8,2866376
Food Prices for Nutrition 1.0,FPN 1.0,Albania,2019,4.159,4.117,19.8,0.6,2854191
Food Prices for Nutrition 1.0,FPN 1.0,Albania,2020,4.239,4.197,20.1,0.6,2837743
Food Prices for Nutrition 1.0,FPN 1.0,Algeria,2018,3.861,3.822,33.9,14.3,42228415
Food Prices for Nutrition 1.0,FPN 1.0,Algeria,2019,3.834,3.796,31.8,13.7,43053054
Food Prices for Nutrition 1.0,FPN 1.0,Algeria,2020,3.798,3.76,30.2,13.2,43851043
Food Prices for Nutrition 1.0,FPN 1.0,Angola,2018,4.336,4.293,93.4,28.8,30809787
Food Prices for Nutrition 1.0,FPN 1.0,Angola,2019,4.396,4.352,93.9,29.9,31825299
Food Prices for Nutrition 1.0,FPN 1.0,Angola,2020,4.58,4.534,94.3,31.0,32866268
Food Prices for Nutrition 1.0,FPN 1.0,Armenia,2018,3.198,3.166,41.7,1.2,2951741
Food Prices for Nutrition 1.0,FPN 1.0,Armenia,2019,3.27,3.237,43.6,1.3,2957728
Food Prices for Nutrition 1.0,FPN 1.0,Armenia,2020,3.28,3.247,42.9,1.3,2963234
Food Prices for Nutrition 1.0,FPN 1.0,Australia,2018,2.296,2.273,0.7,0.2,24982688
Food Prices for Nutrition 1.0,FPN 1.0,Australia,2019,2.348,2.325,0.7,0.2,25365745
Food Prices for Nutrition 1.0,FPN 1.0,Australia,2020,2.587,2.561,0.7,0.2,25687041
Food Prices for Nutrition 1.0,FPN 1.0,Austria,2018,2.877,2.848,0.8,0.1,8840521
Food Prices for Nutrition 1.0,FPN 1.0,Austria,2019,2.846,2.818,0.8,0.1,8879920
Food Prices for Nutrition 1.0,FPN 1.0,Austria,2020,3.011,2.981,0.8,0.1,8917205
Food Prices for Nutrition 1.0,FPN 1.0,Azerbaijan,2018,2.423,2.399,0.0,0.0,9939771
Food Prices for Nutrition 1.0,FPN 1.0,Azerbaijan,2019,2.484,2.459,0.0,0.0,10024283
Food Prices for Nutrition 1.0,FPN 1.0,Azerbaijan,2020,2.559,2.533,0.0,0.0,10093121
Food Prices for Nutrition 1.0,FPN 1.0,Bangladesh,2018,3.001,2.971,74.6,120.5,161376713
Food Prices for Nutrition 1.0,FPN 1.0,Bangladesh,2019,3.055,3.024,73.5,119.8,163046173
Food Prices for Nutrition 1.0,FPN 1.0,Bangladesh,2020,3.095,3.064,73.5,121.1,164689383
Food Prices for Nutrition 1.0,FPN 1.0,Belarus,2018,3.261,3.228,0.5,0.0,9438785
Food Prices for Nutrition 1.0,FPN 1.0,Belarus,2019,3.343,3.31,0.3,0.0,9419758
Food Prices for Nutrition 1.0,FPN 1.0,Belarus,2020,3.343,3.31,0.2,0.0,9379952
Food Prices for Nutrition 1.0,FPN 1.0,Belgium,2018,2.992,2.962,0.2,0.0,11427054
Food Prices for Nutrition 1.0,FPN 1.0,Belgium,2019,2.973,2.943,0.2,0.0,11488980
Food Prices for Nutrition 1.0,FPN 1.0,Belgium,2020,3.162,3.13,0.2,0.0,11555997
Food Prices for Nutrition 1.0,FPN 1.0,Belize,2018,2.344,2.321,37.4,0.1,383071
Food Prices for Nutrition 1.0,FPN 1.0,Belize,2019,2.243,2.221,37.0,0.1,390351
Food Prices for Nutrition 1.0,FPN 1.0,Belize,2020,2.162,2.14,36.4,0.1,397621
Food Prices for Nutrition 1.0,FPN 1.0,Benin,2018,3.707,3.67,87.1,10.0,11485035
Food Prices for Nutrition 1.0,FPN 1.0,Benin,2019,3.701,3.664,82.9,9.8,11801151
Food Prices for Nutrition 1.0,FPN 1.0,Benin,2020,3.744,3.707,82.9,10.1,12123198
Food Prices for Nutrition 1.0,FPN 1.0,Bhutan,2018,4.633,4.587,52.2,0.4,754396
Food Prices for Nutrition 1.0,FPN 1.0,Bhutan,2019,4.76,4.712,50.0,0.4,763094
Food Prices for Nutrition 1.0,FPN 1.0,Bhutan,2020,5.08,5.029,53.0,0.4,771612
Food Prices for Nutrition 1.0,FPN 1.0,Bolivia,2018,3.685,3.648,28.6,3.3,11353140
Food Prices for Nutrition 1.0,FPN 1.0,Bolivia,2019,3.807,3.769,25.4,2.9,11513102
Food Prices for Nutrition 1.0,FPN 1.0,Bolivia,2020,3.793,3.755,24.7,2.9,11673029
Food Prices for Nutrition 1.0,FPN 1.0,Bosnia and Herzegovina,2018,3.929,3.89,4.0,0.1,3323929
Food Prices for Nutrition 1.0,FPN 1.0,Bosnia and Herzegovina,2019,3.934,3.895,3.6,0.1,3300998
Food Prices for Nutrition 1.0,FPN 1.0,Bosnia and Herzegovina,2020,4.035,3.995,3.7,0.1,3280815
Food Prices for Nutrition 1.0,FPN 1.0,Botswana,2018,3.611,3.575,61.5,1.4,2254067
Food Prices for Nutrition 1.0,FPN 1.0,Botswana,2019,3.627,3.591,60.8,1.4,2303703
Food Prices for Nutrition 1.0,FPN 1.0,Botswana,2020,3.738,3.701,61.4,1.4,2351625
Food Prices for Nutrition 1.0,FPN 1.0,Brazil,2018,2.828,2.8,17.2,36.0,209469320
Food Prices for Nutrition 1.0,FPN 1.0,Brazil,2019,2.911,2.882,17.5,37.0,211049519
Food Prices for Nutrition 1.0,FPN 1.0,Brazil,2020,3.115,3.084,19.0,40.4,212559409
Food Prices for Nutrition 1.0,FPN 1.0,Bulgaria,2018,3.898,3.859,9.0,0.6,7025037
Food Prices for Nutrition 1.0,FPN 1.0,Bulgaria,2019,3.935,3.896,8.0,0.6,6975761
Food Prices for Nutrition 1.0,FPN 1.0,Bulgaria,2020,4.149,4.108,8.5,0.6,6934015
Food Prices for Nutrition 1.0,FPN 1.0,Burkina Faso,2018,3.329,3.296,82.2,16.2,19751466
Food Prices for Nutrition 1.0,FPN 1.0,Burkina Faso,2019,3.273,3.24,79.4,16.1,20321383
